"variable","theta","alpha","lambda","mse","msesd","nonzero","rho"
1,4,0,0.00439397056076079,1.35816421819794,9.94486689494012,112.728971962617,0.408689465016597
2,1.5,0.9,0.0517947467923121,0.518271600485804,1.52667646437457,7.35514018691589,0.629231851892579
3,4,0.95,0.0848342898244071,0.564346778961619,1.50552477028421,1.26168224299065,0.645464243852326
4,0,0.25,1,1.03250786814774,6.6675302386181,1,-0.0130422646178049
5,0.25,0.125,0.227584592607479,0.344332205794798,0.787152615376893,22.2990654205607,0.807199912158118
6,6,0,1,0.274384251116628,0.544067195357137,112.728971962617,0.850517083719803
7,6,0.125,1,0.551740732685013,1.77241912288367,1,0.762812771459481
8,0.05,0.325,0.0517947467923121,0.130654663405648,0.34037708861493,21.1121495327103,0.932342166346596
9,6,0.05,1,0.145262033186932,0.503147938971386,1,0.888941967015556
10,0.75,0.075,1,0.0603155651508799,0.124274856808067,1,0.969267646954402
11,2,0.075,1,0.258995759919322,1.30239210309732,1,0.793590809107133
12,8,0.05,1,0.077715732325265,0.219602804238698,1,0.961658990658588
13,8,0,0.610540229658533,0.266525721727449,0.81137920776054,112.728971962617,0.780621743859546
14,6,0.05,1,0.183613896856494,0.46508592626666,1,0.882389528492878
15,4,0.825,0.00268269579527972,0.0971876227875222,0.242799290314651,18.3069306930693,0.952614801261405
16,0,0.75,0.0117876863479359,0.0426032325399765,0.0926517489443993,21.607476635514,0.978509738506431
17,4,0.85,0.0517947467923121,0.696980062285281,0.958201647908198,4.08695652173913,0.484901755810499
18,8,0.975,0.0316227766016838,0.209521513008497,0.52597316106093,1.16822429906542,0.885855929028536
19,0.5,0.025,1,0.349424162640696,0.740437370820962,51.4952380952381,0.790560144262309
20,8,0.075,0.138949549437314,0.121559163162958,0.225926989017506,3.20560747663551,0.938275560744728
21,8,0.075,0.372759372031494,0.128197011496632,0.419974557589899,1.16483516483516,0.936847148960735
22,8,0.625,0.0316227766016838,0.275722423072986,1.10352959124825,1.39252336448598,0.809317616224602
23,8,0,0.227584592607479,0.409570686745703,0.752621100339238,112.792452830189,0.763446638150433
24,8,0,0.372759372031494,0.301108804297216,0.513212700322998,112.728971962617,0.836963661813185
25,8,0,1,0.192488191545125,0.42693055072925,112.728971962617,0.893152999579246
26,4,0.05,1,0.241568301583187,0.641153476938535,1,0.826567157052847
27,8,0.025,0.00268269579527972,0.0453315682337075,0.104721765411811,57.196261682243,0.977524774337784
28,8,0.05,0.0848342898244071,0.0807126183951234,0.160404738205997,8.37383177570093,0.958467140984258
29,6,0.075,1,0.228768621141217,0.593375208854351,1,0.843704691857692
30,8,0.025,0.0193069772888325,0.10854548236031,0.272438994521395,48.2710280373832,0.943158552039002
31,6,0,1,0.410835611193226,0.714717627416429,112.72641509434,0.740070492409231
32,6,0.15,0.000999999999999999,0.108018755149774,0.176730421398921,56.1078431372549,0.944308306274921
33,0.05,0.15,0.372759372031494,0.541010955253591,0.892579834633361,16.5769230769231,0.650448701353985
34,0.25,0.65,0.0517947467923121,0.30926461098503,0.727231619409482,12.3522727272727,0.730321398398326
35,6,0,0.0848342898244071,0.16801865355929,0.324327552185368,112.839622641509,0.912022065064958
36,8,0,1,0.379418060332705,0.939548181379793,112.728971962617,0.63639587684199
37,6,0,0.610540229658533,0.494257925962295,1.0082223383494,112.820754716981,0.665439885881803
38,2,0.175,0.0117876863479359,0.355684355018014,1.11896660837797,45.2051282051282,0.844758955395637
39,8,0.075,0.0517947467923121,0.111233879702129,0.171759112775473,13.9545454545455,0.93669775212488
40,8,0.4,0.0848342898244071,0.138079340224492,0.241823882853667,1.01282051282051,0.925950612985235
41,3,0,0.138949549437314,0.166210919650172,0.275329369619953,113.512820512821,0.920122298896802
42,8,0.025,0.000999999999999999,0.0430331959805323,0.0948651266813983,69.1470588235294,0.97866430237523
43,8,0,1,0.54899746540512,0.804044597084549,113.058823529412,0.605916066274493
44,6,0,1,0.217750876945277,0.508203811940852,112.728971962617,0.861056039101589
45,8,0.525,0.000999999999999999,0.068498012139887,0.141585166499529,20.588785046729,0.966488009174563
46,2,0,0.610540229658533,0.14472960123699,0.195362175935938,113.177083333333,0.917709053787523
47,1.5,0,0.372759372031494,0.0651494933363259,0.181091561016764,113.975,0.971898342150079
48,4,0,1,0.3232372473375,0.691916609783071,112.728971962617,0.812292897597958
49,8,0.025,0.227584592607479,0.467720264971181,0.709960409455363,42.42,0.48977116742699
50,8,0,0.227584592607479,0.185686730237624,0.333631273713512,112.728971962617,0.896078949072616
51,0.1,0.9,0.0316227766016838,0.249036209093221,0.573948682468164,16.7303370786517,0.850548007906858
52,8,0.675,0.0316227766016838,0.057186304046558,0.231619049494032,1.17525773195876,0.972550126711549
53,8,0,0.0193069772888325,0.0677754918980512,0.142973845152564,112.923076923077,0.965840043616317
54,1.5,1,0.0316227766016838,0.475020734268823,1.16936179240601,9.35051546391753,0.720127113471078
55,1,0.25,1,0.0525087652931664,0.0887639591003864,1,0.974145946297535
56,8,0,0.227584592607479,0.206406152940371,0.365972963968602,112.761904761905,0.888760294835152
57,0.25,0.6,0.0316227766016838,0.194128371781016,0.340533926834003,21.5619047619048,0.89687780074451
58,8,0,1,0.425546470017048,0.871803121233399,112.9,0.760383683009201
59,6,0,1,0.406451005884656,0.729280553571364,112.733333333333,0.747922672484814
60,8,0,1,0.177120166042009,0.579418708745048,112.728971962617,0.880423055947487
61,2,0.1,1,0.369212526832089,1.53114226897768,1,0.802919633127203
62,8,0,0.0848342898244071,0.0628751976646857,0.166184530864632,112.728971962617,0.96790099172702
63,8,0,0.138949549437314,0.179644005677289,0.412090468595051,112.728971962617,0.895183783583167
64,8,0.725,0.0193069772888325,0.541677327616058,0.938563947279543,2.76767676767677,0.693488523092055
65,8,0,1,0.0953732890735021,0.3124398445546,112.828571428571,0.95106303865255
66,4,0,1,0.258296413754661,0.614994796568798,112.728971962617,0.837708538065525
67,4,0,0.372759372031494,0.265623020254009,0.492362235303468,112.828571428571,0.85023586387801
68,4,0,0.0848342898244071,0.314426661205507,0.522218876671082,113.377551020408,0.821120918431366
69,6,0,0.372759372031494,0.111204500581854,0.231841089673438,112.728971962617,0.943287333565143
70,0.5,0.875,0.0517947467923121,0.144923495927815,0.300401195896782,3.41121495327103,0.923699355279066
71,8,0,0.372759372031494,0.0461779057892671,0.112820786501105,112.728971962617,0.976402095188782
72,0.1,0,1,0.233688366725488,0.45473288675048,113.029126213592,0.873590353402945
73,6,0.7,0.0517947467923121,0.293892511743212,0.606983973150836,1.00934579439252,0.786614603455215
74,6,0.05,1,0.221087066694981,0.669836718500915,1,0.856495269265346
75,4,0,0.610540229658533,0.34651544526934,1.17825696182011,112.728971962617,0.745951502448138
76,8,0,1,0.389003453298264,1.0579868507048,112.933333333333,0.775922876566055
77,8,0,0.138949549437314,0.206451399192618,0.360918902360619,112.980769230769,0.889697653122646
78,8,0,0.138949549437314,0.258977141757429,0.520679168133537,112.933333333333,0.851427206451185
79,8,0.075,1,0.171204614421383,0.733969567363109,1,0.876700877841369
80,8,0,0.138949549437314,0.112002015404703,0.268700801727872,112.676470588235,0.943817769467913
81,4,0.1,1,0.196338909678652,0.575371211491968,1,0.88692767171912
82,8,0,0.0848342898244071,0.30912793811555,0.818584112819226,112.728971962617,0.795637800758435
83,0,0.025,0.227584592607479,1.04052409021107,7.37216124060386,72.7311827956989,0.278337949493944
84,3,0.925,0.0517947467923121,0.212129802303755,0.848620929886998,1.01869158878505,0.816790018514263
85,8,0.05,0.0517947467923121,0.11371047571548,0.264614103174229,18.4205607476636,0.940857179275184
86,4,1,0.0848342898244071,0.630183197861307,1.19887710802252,1.01136363636364,0.459734408448871
87,6,0.05,1,0.10647054632668,0.38389378652645,1,0.927717092963457
88,6,0.975,0.00163789370695406,0.261103792462189,1.16352840811947,16.5849056603774,0.862980809908451
89,8,0,0.138949549437314,0.150953608248006,0.241513922300086,112.728971962617,0.920601477398545
90,8,0,0.0117876863479359,0.151692792185941,0.250474750542281,113.529411764706,0.920422185575465
91,8,0.9,0.00719685673001152,0.0756367892611449,0.192141868453072,3.07291666666667,0.95997120558108
92,4,0.075,0.00163789370695406,0.02294439021959,0.0427184535603132,75.4950495049505,0.989144385779521
93,3,0.575,0.0117876863479359,0.186316938737995,0.416149962298714,17.7745098039216,0.901857457547233
94,8,0.975,0.00719685673001152,0.200904265408175,0.391769402859315,6.49532710280374,0.88439328179969
95,6,1,0.0193069772888325,0.387016886268882,1.03723928306473,3.27102803738318,0.74051114492789
96,6,0.925,0.0193069772888325,0.202946950920414,0.494641121314021,3.30841121495327,0.868033314476331
97,8,0.725,0.0316227766016838,0.209652480508736,0.353547449419124,1.1214953271028,0.875163978816923
98,8,0,0.0117876863479359,0.0493498395163164,0.107466718875464,113.443298969072,0.975451255893858
99,8,0.025,0.372759372031494,0.211557462021221,0.341453434748087,25.1775700934579,0.888437654996417
100,0.5,0.225,1,0.786566832584896,4.04892346953305,1,0.558000862292477
101,8,0.05,1,0.144124928271365,0.34736213436848,1,0.9081574909566
102,2,0.3,0.00439397056076079,0.272804394419975,0.595037516582244,65.6,0.851063246866448
103,8,0.05,1,0.174775024067395,0.399869370998874,1,0.902368284795478
104,8,0.775,0.00719685673001152,0.173186025586734,0.359015239919698,5.24299065420561,0.868259550824609
105,4,0,1,0.339604839473312,0.677729074866635,112.69,0.699230726352773
106,8,0.775,0.0316227766016838,0.382215127612692,0.854725037685039,1.01086956521739,0.694774155863924
107,0.75,0,1,0.245783078992826,0.548369338709124,112.825242718447,0.867213582508089
108,2,0.875,0.0193069772888325,0.347798984597089,0.78485741485441,14.3535353535354,0.804001433658342
109,8,0.675,0.0316227766016838,0.10275044234016,0.188322562180192,1.02803738317757,0.946536371608948
110,8,0,0.0193069772888325,0.147163037757162,0.257369534886587,113.279569892473,0.919942403110838
111,8,0,0.0848342898244071,0.19518813606546,0.398892236783974,112.728971962617,0.897788077515852
112,8,0,0.227584592607479,0.199757654161995,0.415435285918246,112.728971962617,0.87862570909476
113,8,0.125,0.0193069772888325,0.355804975126196,0.780707431775323,27.7009345794393,0.775025192807039
114,0.005,0.625,0.227584592607479,0.395079898931223,1.16046807031835,1.90654205607477,0.657751381493685
115,6,0.7,0.0517947467923121,0.236864515674037,0.697940541043845,1.13084112149533,0.87652743343535
116,8,0,0.610540229658533,0.566130050882735,0.901476086050045,113.022471910112,0.567247786304382
117,8,0,0.138949549437314,0.22219143245059,0.408025298445329,112.728971962617,0.88089656552244
118,2,0.05,1,0.100739355023997,0.431501820135601,1,0.933833656079878
