,UASB_004,UASB_005,UASB_006,UASB_007,UASB_008,UASB_009,UASB_010,UASB_011,UASB_012,UASB_013,UASB_014,UASB_015,UASB_016,UASB_017,UASB_018,UASB_019,UASB_020,UASB_021,UASB_022,UASB_023,UASB_024,UASB_025,UASB_026,UASB_027,UASB_028,UASB_029,UASB_030,UASB_031,UASB_032,UASB_033,UASB_034,UASB_035,UASB_036,UASB_037,UASB_038,UASB_039,UASB_040,UASB_041,UASB_042,UASB_043,UASB_044,UASB_045,UASB_046,UASB_047,UASB_048,UASB_049,UASB_050,UASB_051,UASB_052,UASB_053,UASB_054,UASB_055,UASB_056,UASB_057,UASB_058,UASB_059,UASB_060,UASB_061,UASB_062,UASB_063,UASB_064,UASB_065,UASB_066,UASB_067,UASB_068,UASB_069,UASB_070,UASB_071,UASB_072,UASB_073,UASB_074,UASB_075,UASB_076,UASB_077,UASB_078,UASB_079,UASB_080,UASB_081,UASB_082,UASB_083,UASB_084,UASB_085,UASB_086,UASB_087,UASB_088,UASB_089,UASB_090,UASB_091,UASB_092,UASB_093,UASB_094,UASB_095,UASB_096,UASB_097,UASB_098,UASB_099,UASB_100,UASB_101,UASB_102,UASB_103,UASB_104,UASB_105,UASB_106,UASB_107,UASB_108,UASB_109,UASB_110,UASB_111
d__Bacteria;p__Firmicutes;c__Clostridia,21.69645495,25.14918502,26.39731199,24.60219088,22.31441774,22.01250272,25.50775726,31.0229408,31.80112092,29.4132181,35.56793865,37.20839077,39.91231008,39.77340157,38.89352261,44.14497732,40.63483147,41.14275817,33.58473516,53.39965611,52.52858583,59.01270132,68.84120114,67.16803104,72.89247867,66.14815374,65.25588115,51.20950344,54.41991963,59.61133081,59.10587749,63.05854141,66.54239888,50.78390375,50.75980161,55.04235197,53.94310058,45.43482268,46.54271627,48.92414718,45.39995781,46.24715643,42.40199985,41.12101113,36.87540842,38.97041083,35.18416122,36.27406491,33.43091933,34.40902026,32.9672805,33.1235166,36.74365906,29.87704236,32.23834008,33.39419309,32.93934424,33.35034433,36.29773817,38.14630355,38.23292392,35.95464365,36.9463161,35.81052464,34.85931077,33.81150083,32.62019623,31.54195934,30.32885346,24.15331642,23.66914038,21.4539185,20.43335483,19.96770953,18.73498998,18.73386377,18.02333758,15.42719107,14.5944837,14.12839091,13.9011741,13.3789713,14.91291292,13.24353119,13.88451048,13.48043153,10.95806358,11.81573768,10.78656504,11.25242879,12.38171071,11.73542815,12.35042841,12.24147905,11.35293502,11.04483232,10.55705657,11.04653252,11.3270239,12.04884998,13.96986002,14.08885272,13.58255479,14.09748922,14.3209987,15.47734006,17.14039901,16.23768686
d__Bacteria;p__Spirochaetota;c__Spirochaetia,0.528710412,0.552956839,0.362416053,0.3952966,0.294527523,0.32025945,0.436172289,0.364095072,0.483701542,0.463151667,0.362607214,0.427682616,0.42093521,0.473211226,0.645314581,0.67529208,0.67858539,0.671279678,0.7897721,0.61021727,0.706714562,0.541550952,0.471370207,0.500034504,0.268391288,0.369014132,0.313818382,0.565621344,0.522661522,0.398604703,0.481646795,0.439113998,0.330393143,0.801880247,0.818374064,0.613514475,0.489066812,0.774166202,0.675507551,0.530203974,0.583353054,0.427225419,0.319928789,0.379495148,0.553269467,0.504893574,0.636942731,0.486505045,0.646656464,0.608957867,0.863300289,0.83932889,0.70612171,0.852282302,0.958520067,1.226283047,1.278137805,1.33279562,1.396196591,1.39738208,1.353688538,1.38842045,1.622512018,1.605924404,1.746147123,1.803764272,1.776692218,1.780773991,1.776571227,2.068252918,1.841849485,1.608418012,1.812986764,1.879126812,1.818556786,1.996850983,2.237206462,2.143310788,2.124455086,2.18030725,2.275855934,2.242991689,2.494610704,2.27960125,2.319373224,2.366419582,2.462096607,2.446141597,2.41878691,2.469668894,2.373006496,2.532146183,2.467899271,2.352642014,2.587980905,2.375999575,2.589674662,2.624918646,2.587595723,2.559734262,2.662389703,3.10769789,3.064827264,3.197160642,3.13810171,3.026443818,3.378195482,3.295820141
d__Bacteria;p__Chloroflexi;c__Anaerolineae,17.08791925,14.21424244,12.59328698,11.09845569,10.12477909,9.314976222,9.708996257,9.922441064,8.796757877,8.991317563,7.234456775,5.916276734,7.223601217,7.919527452,10.01717637,10.2847578,12.1679163,12.34747696,14.33889525,9.271912489,9.572506419,8.017862144,5.638312789,5.323896609,3.133387065,4.056001763,3.494795527,7.605530009,6.716326554,5.623647828,7.744479211,6.66628126,4.798278919,9.138669397,8.595871943,6.104586096,5.862324376,9.015873764,7.128972145,5.082547015,7.316582134,5.295006538,5.100887578,5.629178223,6.673812706,5.806276351,8.77873213,7.638439276,9.663243877,8.774793097,10.15012645,10.01799026,7.799003153,10.64173832,10.44138813,11.42611217,13.01580985,12.68305512,12.02954865,12.10215673,12.52259434,12.56656587,12.75932253,12.83785525,12.86683999,13.29519537,13.39328254,13.76919893,13.93422853,15.14348953,15.7003923,15.0922184,15.30173287,15.09342634,15.4031113,15.24724855,15.86992158,16.58016448,16.64515156,16.75838653,16.89171331,16.87508974,16.66495773,16.55371386,16.54020866,16.64653767,16.84376692,16.63976918,16.68962987,16.85549004,16.53060474,16.60570546,17.17690692,17.00758331,17.27878343,17.32640475,17.71447639,17.41820998,17.72049956,17.71129235,18.39692829,18.34132826,19.2108,19.7508995,19.00374699,18.97367913,18.20044076,19.03668486
d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia,2.670742719,2.619891622,2.504697677,2.562728197,2.505067295,2.494974022,2.999933325,2.769844634,2.622803868,2.686279667,2.6414317,2.533695701,2.069352723,2.264653565,2.732226338,2.916305515,2.76614192,3.007681457,4.233696409,2.217687818,2.32868231,1.908149451,1.087777386,1.006605332,1.138237651,0.845263225,1.018890791,1.783145277,1.315491059,1.245639686,1.539262864,1.187670847,1.057864436,1.075625529,0.927294425,0.808616753,0.741697386,0.963942379,0.914801639,0.741145358,0.786510777,0.676440338,0.70456233,0.801156489,0.905978747,0.98142241,0.958875747,0.765393328,1.181063103,1.090324564,1.269559231,1.46283038,1.149426782,0.916287702,1.439485749,1.155145094,1.364845557,1.085583545,0.978012084,1.024959053,1.012340547,1.227799229,1.040790676,1.28155945,0.986301725,1.086495622,1.09895224,1.097083995,0.98278406,1.386375815,1.206136542,1.320530014,1.328695835,1.344958757,1.281986122,1.281890174,1.390922371,1.338843182,1.146775324,1.201894392,1.04566357,1.132026299,1.351675265,1.201411426,1.132717128,1.083656946,1.166422167,1.190310001,1.037935204,0.981693399,0.9931357,0.960126218,1.030341156,0.881895169,0.868473402,0.820151511,0.873326488,0.703103173,0.748422607,0.692938166,0.873116201,0.743483328,0.679424414,0.657306274,0.608671167,0.584050547,0.619886072,0.633273252
d__Bacteria;p__Patescibacteria;c__Parcubacteria,0,0,0,0,0.00633,0,0.0133182,0,0.018026105,0,0.020636201,0.032400194,0,0.023660521,0.020721115,0.035856199,0.031080215,0,0.009710004,0.0310759,0.026067328,0.01999015,0,0.016340959,0,0,0,0.01597799,0.030299213,0.009969995,0,0,0.009090001,0.013825499,0.023550343,0.009400047,0.012955447,0.015061598,0,0,0,0,0,0,0.013831699,0.008510011,0,0,0.017081488,0,0,0.008990004,0.009500012,0,0.023877679,0.027100206,0.022479761,0.026870891,0.016862308,0,0.00779995,0.008169691,0.038547803,0.028620443,0.031816146,0.012105796,0.034837118,0.0476993,0.013745199,0.03231641,0.006869721,0.040679798,0.043462049,0.012718294,0.00963982,0.028346508,0.016758112,0.029042201,0.036893614,0.013626872,0.017574199,0.034224015,0.054751407,0.047608401,0.006349973,0,0.03782988,0.027300715,0.024494,0.021609596,0.021657189,0.029848463,0.013664966,0.013822762,0.0244149,0.024398075,0.033059703,0.024999206,0.00671,0.012927937,0.036892242,0.018664811,0.029669201,0.040360868,0.020097615,0.042476433,0,0.073473652
d__Bacteria;p__Planctomycetota;c__Pla4_lineage,0.093657297,0.053225796,0.021476497,0,0.015834801,0,0,0.010208224,0.021030506,0.006180229,0.017688201,0.038880192,0.04121043,0.064221486,0.062163346,0.095616597,0.095830762,0.10170903,0.093866336,0.090402518,0.066616572,0.018172855,0.039280892,0.032682018,0.016168099,0,0.018340011,0.025564784,0.015149606,0,0.034116693,0.055994363,0.018186802,0.00553,0,0.004700024,0,0,0,0.005700027,0.011609007,0.016182782,0,0.009039999,0,0.005670008,0.013846601,0.027888808,0.01464129,0.020298616,0.022217302,0.026978413,0.066495786,0.0437932,0.167144055,0.13550093,0.179838491,0.589367977,0.58680729,0.814874304,0.971378812,0.789493918,1.009251574,1.742666532,1.952016621,1.852187455,1.482160338,1.97475119,1.859042524,1.551189664,1.092739054,1.020125055,1.157952236,1.03336075,1.201661124,1.051968807,1.196109485,0.909019349,0.827031006,0.798537533,0.852347575,0.737133425,0.848646704,1.218214427,0.910615783,0.985736151,0.72822574,0.832671012,0.841982803,0.913777513,0.733249727,0.703926733,0.593061053,0.749196234,0.784765102,0.835165757,0.738332775,0.806224998,0.711504906,0.752406735,0.596424434,0.718596814,0.901943319,0.801452359,0.930233314,0.9132427,0.773940542,0.808210671
d__Bacteria;p__Dependentiae;c__Babeliae,0.483392317,0.343010639,0.335570457,0.2210981,0.215353417,0.167754945,0.199773595,0.18374894,0.168244049,0.169822294,0.197517808,0.142560872,0.167785323,0.169004038,0.239772879,0.206173194,0.354832853,0.351622641,0.427253762,0.206230872,0.1853677,0.13266177,0.09971288,0.140532607,0.103476196,0.07884915,0.065209038,0.166171195,0.186845179,0.172728715,0.234802849,0.176824401,0.127307416,0.165906289,0.176627471,0.129284648,0.136031847,0.135554383,0.18944117,0.156780732,0.177037507,0.152118129,0.172545838,0.14456958,0.16943879,0.204226673,0.173082208,0.210715563,0.278184312,0.153689361,0.203129521,0.221822603,0.161489708,0.279602501,0.214899513,0.304876943,0.282603315,0.483675833,0.370970084,0.264197542,0.216512099,0.245015326,0.360947626,0.327544948,0.331262679,0.332909484,0.34837098,0.403854098,0.230232591,0.397492319,0.477643772,0.413056806,0.717123255,0.543706725,0.481949686,0.384252112,0.456658219,0.435632314,0.365861335,0.572330606,0.556515584,0.723970319,0.988947221,1.389044531,1.450004864,1.517772524,1.387096634,2.042091453,1.904412008,2.923470501,3.053660306,3.129115848,3.375255335,3.143306634,3.208817306,2.826426055,2.416111344,2.35930188,2.24191172,1.952120538,1.998329441,1.791825832,1.827622038,1.966152927,2.052829577,2.083998596,2.519891775,1.731879965
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia,0,0,0,0,0,0,0,0,0,0.012350758,0.017688201,0.055080389,0.097138871,0.16224386,0.17464933,0.170316995,0.217561704,0.217947907,0.245994593,0.333359453,0.309911734,0.199901402,0.238706753,0.133996183,0.074373497,0.148236431,0.118191369,0.153388803,0.11867195,0.112938044,0.218747952,0.170930294,0.169743322,0.127194792,0.091257554,0.098726495,0.068015924,0.075307991,0.084750031,0.051310039,0.058045035,0.080913909,0.028757656,0.066261091,0.069158696,0.062402583,0.076156204,0.086765226,0.100048732,0.095693402,0.155521016,0.134892163,0.098160427,0.0606367,0.187610737,0.149050983,0.199106858,0.175556399,0.168622783,0.16552139,0.23796826,0.239570532,0.203252015,0.387965928,0.363078825,0.351068178,0.37054011,0.317995398,0.391739084,0.384565815,0.419226948,0.375506124,0.561901738,0.473756207,0.420902727,0.485039542,0.488079691,0.421111213,0.442722864,0.427885307,0.483289886,0.481769312,0.461964956,0.632911414,0.593328048,0.646277368,0.54853366,0.655216464,0.649092203,0.818077832,0.779657918,0.810883802,0.817167131,0.843191275,0.746398801,0.799506948,0.719047973,0.759351487,0.788696507,0.757577949,0.743993403,0.622161758,0.623053013,0.611179511,0.631639885,0.538919413,0.601546223,0.584290851
d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae,0.102720916,0.065053728,0.120805384,0.1004991,0.098175808,0.149454397,0.083238998,0.18374894,0.216313763,0.169822294,0.147401306,0.123120776,0.156010915,0.16224386,0.139127404,0.227089393,0.176121417,0.206324069,0.197443075,0.118653336,0.153507665,0.110854424,0.042302492,0.071900359,0.084074396,0.141928551,0.12022907,0.172562491,0.131296656,0.14283333,0.212727354,0.103147617,0.096996213,0.124429692,0.076538564,0.06581763,0.110121052,0.117480485,0.124632346,0.102620179,0.092872156,0.087387002,0.104246517,0.14456958,0.16598079,0.20989958,0.152312407,0.195221758,0.156173595,0.139190421,0.09521691,0.071942433,0.028498137,0.0875863,0.078455432,0.165988624,0.144513052,0.249003494,0.239444319,0.276929987,0.265276183,0.302185663,0.297869422,0.559688486,0.512802041,0.568972602,0.497220493,0.610551097,0.542936678,0.56876957,0.422663209,0.453736604,0.32286062,0.31477763,0.353429789,0.289763885,0.24299247,0.267187788,0.224435883,0.19622769,0.213819194,0.179018079,0.112924814,0.249243905,0.196718354,0.270914286,0.277419287,0.264816677,0.269434501,0.404408317,0.45789439,0.606919153,0.491940066,0.599909846,0.599909301,0.660625523,0.644663665,0.712477875,0.771915707,0.853244721,0.879264958,0.895912916,0.990950921,1.063798249,1.154178286,1.319423311,1.272783751,1.151087879
d__Bacteria;p__Planctomycetota;c__Phycisphaerae,1.954717813,1.540590892,1.285905834,1.115540499,0.972257476,0.905876904,0.922288077,0.915341792,0.880276658,0.731779623,0.598449323,0.550803391,0.818321602,0.92276183,1.101178921,1.350584161,1.455591561,1.484951917,1.773750474,1.050929732,0.996351674,0.954074725,0.577126386,0.571934864,0.407437282,0.451017273,0.405518535,0.993831874,0.792829537,0.714166748,1.174014044,0.798657006,0.642599583,0.854417244,0.762442025,0.531242363,0.489066812,0.750067705,0.578294215,0.527353461,0.638495887,0.495193142,0.567963487,0.566230822,0.67083916,0.64388116,0.803101639,0.610455382,0.895558195,0.684352653,0.837909086,0.800360072,0.630000812,0.754589902,0.934642388,0.91124344,1.175372882,1.249943749,1.264670826,1.120452193,1.127423602,1.304026244,1.212503589,1.348340517,1.500975369,1.531383767,1.748189194,1.685375392,1.70440873,1.790331435,1.979300894,1.793041909,1.6981229,1.704250417,1.741444828,1.817323331,1.849957135,1.57989311,1.598721592,1.542567381,1.482088957,1.532184476,1.652807902,1.713901638,1.662587649,1.645069618,1.771700747,1.706292997,1.760509507,1.85533872,1.79754472,1.880454385,1.984158244,1.915841218,1.946217404,1.749156156,1.757672778,1.818693647,1.909652317,1.711660656,2.130526618,2.034468872,2.056074843,2.245796303,2.150446652,2.224701704,2.307149768,1.997784758
d__Bacteria;p__Spirochaetota;c__Leptospirae,0.138975292,0.121236507,0.064429492,0.0770493,0.044337503,0.070152086,0.063261598,0.023819257,0.036052311,0.02778913,0.064856602,0.022680096,0.050041237,0.030420699,0.065123449,0.077688498,0.072520601,0.130768724,0.148891457,0.079102191,0.095580203,0.074508715,0.045324091,0.019609171,0,0,0,0.076694452,0.045448819,0.069755866,0.056192088,0.029470733,0,0.063597396,0.038269332,0.047012636,0.045343916,0.027110897,0.042375016,0.03420676,0.040631525,0.03560216,0.021568217,0.021083097,0,0.042547257,0.079617804,0.037185111,0.080527046,0.031897767,0.060304106,0,0.044330557,0.0640054,0.040933264,0.067750465,0.099553429,0.014331155,0.057331728,0.079577584,0.062417896,0.046280648,0.045556503,0.047700705,0.016843824,0.033290988,0.028503124,0.0413394,0.089343996,0.187435456,0.109961127,0.07823048,0.108655072,0.117644171,0.099602937,0.078740223,0.098453819,0.098743363,0.095308435,0.079036135,0.143522496,0.105304746,0.095814912,0.084014802,0.088840518,0.104448895,0.072507353,0.073711871,0.0704204,0.074090085,0.077347019,0.072133811,0.098387973,0.113346988,0.0767326,0.082578153,0.126728713,0.074997718,0.083903901,0.118937137,0.079933142,0.111989065,0.097908302,0.083604733,0.063163949,0.082298063,0.135714722,0.069974987
d__Bacteria;p__Bacteroidota;c__Bacteroidia,1.293074521,1.073386763,0.950335477,0.844192799,0.905751271,0.890626364,1.022174874,1.095687924,1.078564216,1.022021381,0.875563833,1.0141263,1.086189399,1.095145956,1.317270583,1.39540436,1.447821407,1.47042207,1.576307399,1.144157432,1.080346365,1.10490935,0.96389161,1.34976627,1.141471251,1.207969477,1.283802445,1.34854355,1.249842731,1.37850792,1.250274827,1.0579995,1.048771035,1.789022382,1.722118146,1.5960778,1.716592224,1.927884757,1.493095954,1.151625873,1.08834526,1.048644319,0.927434142,0.993915863,1.168781731,1.171466564,1.543893776,1.428527626,1.742312124,1.504995939,1.685339974,1.564748928,1.124095049,1.249789502,1.180241874,1.470184601,1.576798093,1.592547431,1.426548706,1.235043902,1.363441374,1.301303847,1.450799106,1.736306445,1.90335655,1.761393987,1.7418551,1.710814991,1.522284438,2.113495932,1.738760878,1.749232896,1.654660951,1.771021411,1.767148747,1.653543783,1.983740235,1.696061714,1.657136413,1.583448095,1.584604954,1.571673693,1.632276099,1.694298237,1.611821568,1.729934314,1.554178787,1.941078867,2.051376308,2.14861196,2.227594096,2.002335635,2.120808201,1.979426143,1.848557804,1.976246151,1.738387976,1.540577279,1.617666815,1.634092936,1.509507356,1.577180008,1.507194832,1.33767583,1.65374807,1.659234571,1.749619122,1.609423812
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,2.084629486,1.564246757,1.259060238,1.135640299,1.041930681,0.969928774,0.839049079,0.758814917,0.694006503,0.821322242,0.636773724,0.806765041,0.688803007,1.240489373,1.358712714,1.38644036,1.460771597,1.153671043,1.097265317,1.059404977,1.068760952,1.190321737,1.214684761,1.460005268,0.630557773,1.059732946,0.851792694,0.706227755,0.760005323,3.903004176,0.586058278,0.568785245,0.757782498,0.655329657,0.682959643,0.68638394,0.812952196,0.599451724,0.717882466,0.57011186,0.699443224,0.433698612,0.503258836,0.415637543,0.421867975,0.365905988,0.380780919,0.30367829,0.361151556,0.374074144,0.450693546,0.311750745,0.202653761,0.1583291,0.238777293,0.491190697,0.34361991,0.779255531,0.762174977,0.579324665,0.516996653,0.574424959,0.40650413,0.715510876,0.626966006,0.792929924,0.67457303,0.998505395,0.824713866,0.607549282,0.663203225,0.497545617,0.583632712,0.693146632,0.616895562,0.724409612,0.557206889,0.699915862,0.654860942,0.708599821,0.749831578,0.858233878,0.639906978,0.775736517,0.726588875,0.753990262,0.73768326,0.679787087,0.731759603,0.728552351,0.875568214,0.786010032,1.057671087,1.150057629,0.781277202,0.913990399,1.099234211,0.821849502,1.043764309,0.848073606,0.77166261,0.78081295,0.913811019,0.758208493,0.812518524,0.974302546,0.80695225,1.133594157
d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,0.148038911,0.103494608,0.120805384,0.1004991,0.12667851,0.085402527,0.089898098,0.119096485,0.168244049,0.154383922,0.135609205,0.097200581,0.088308065,0.094642285,0.112485984,0.152388896,0.170941382,0.188888213,0.181259169,0.132778745,0.150611262,0.092681569,0.063453687,0.058827612,0,0.02523172,0.024453414,0.086281246,0.078272933,0.079720961,0.112384275,0.07957099,0.066684909,0.060832296,0.091257554,0.032908865,0,0.048197094,0.057330921,0.03420676,0.037729323,0.022655874,0.053920543,0.054213593,0.048411097,0.150333501,0.21116031,0.195221758,0.139092106,0.124691381,0.10156471,0.161870575,0.123492159,0.1179047,0.180788443,0.237126578,0.211952536,0.249003494,0.266423932,0.305577889,0.273078332,0.332131929,0.367956327,0.817272474,2.732448948,1.246897466,0.665071989,0.508792597,0.48795568,0.458893637,0.44671723,0.438090528,0.34769609,0.403805589,0.427328707,0.456693033,0.44408971,0.32817633,0.310520915,0.31614454,0.35734159,0.418586485,0.321664439,0.571300513,0.64409403,0.721349964,0.819648034,0.887272342,0.976700004,1.065044682,1.144735825,1.074545377,1.243515181,1.078179027,0.976596602,0.838919269,0.906386092,0.821849502,0.775271807,0.723965254,0.740919025,0.839918384,0.860406518,0.905237576,0.892909086,0.892004483,0.938998982,1.028631726
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,0.021148444,0,0.018791898,0.0267998,0,0,0.026636499,0.010208224,0,0.018526087,0,0,0.026492419,0.030420699,0.023681318,0.029880199,0.028490197,0.055213479,0.009710004,0.042376227,0.055031059,0.047249382,0.030215994,0.12745976,0,0.01576985,0,0.025564784,0.007570003,0.332170536,0.026089194,0.00884001,0.042435805,0.041476597,0.002940018,0.030558153,0.058299363,0.069283391,0.014955906,0.03420676,0,0.003239996,0,0.027106796,0.020747599,0,0.096926105,0,0.02928258,0.017398828,0.044434605,0.032973615,0.028498137,0.0303183,0.040933264,0.044037747,0,0.042993365,0.094428747,0.076394472,0.046813397,0.065337427,0.059573904,0.073141154,0.11790707,0.099872865,0.139348372,0.244856399,0.216487391,0.235910071,0.240540016,0.237820555,0.248354407,0.302059336,0.379133709,0.321259894,0.391720623,0.383356392,0.461169671,0.558703734,0.541870484,0.56601315,0.622797176,0.711325216,0.77418207,0.773574361,0.86063042,0.761689233,0.915464904,0.848948626,0.850817212,0.701439337,0.901890138,0.962067448,0.913815402,1.020966626,1.151578716,0.97496974,1.181366611,1.083362273,0.919231579,1.014123684,0.925678719,0.957130134,1.036463596,0.955719132,0.891315415,0.885183087
d__Bacteria;p__Actinobacteriota;c__Actinobacteria,6.752386807,5.849966556,5.527516087,4.723459895,4.766278572,4.379929924,5.310647767,5.400176233,5.413851686,5.202737039,4.380767266,3.576982195,3.64123668,3.396980398,3.777162218,3.755938591,3.869490646,4.21075406,5.279173406,3.367495313,3.377168641,3.042135328,2.254116456,2.372712661,1.61681483,2.002769161,1.82789016,2.268876571,2.484535856,2.534461451,2.528645749,2.419547744,2.215756086,5.123738062,4.927907393,4.285198477,3.750592058,5.886073258,5.304354168,4.156115292,4.794523405,4.783630614,5.266244077,6.210468343,8.101939422,7.678353751,9.876073584,10.12984092,11.256703,11.48900541,13.13993855,13.7739872,12.8811793,15.71837633,15.24763305,18.00468006,20.35707345,22.25087964,22.80117139,23.58042524,24.3312838,27.41994178,26.20199241,25.0269807,24.38429934,26.50565028,28.52842009,28.91213776,30.31854456,29.68912468,32.32514571,34.4464316,34.85653414,36.2820914,35.53896838,36.40945943,36.34203662,39.26789348,41.23471976,41.93820967,41.60979349,42.34831408,41.03617511,40.41671419,41.00309175,41.20507674,42.70681462,41.3769224,41.35513317,39.54865979,39.50576298,39.57411238,38.18821319,38.5186376,40.17648498,41.14458108,41.34112488,42.58617968,42.34125428,42.10892076,38.84752444,38.5398094,38.80433251,37.18681255,37.36149869,36.18989712,34.58890697,34.952487
d__Bacteria;p__Desulfobacterota;c__Syntrophia,2.830866356,2.52231098,1.892617156,1.651535998,1.418799211,1.369490635,1.265232668,1.224992734,0.949376878,1.102300957,0.843135532,0.758164751,1.042035367,1.226969018,1.598485592,1.577673454,2.022805982,2.167855433,2.586179983,1.387114267,1.32653793,1.113995827,0.688925664,0.705931047,0.643492272,0.656025224,0.456463065,1.33256556,1.040273142,1.043015586,1.452967883,1.140517593,0.7790004,1.324484913,1.077427836,0.759253505,0.793519075,1.253125142,0.974625262,0.860868917,1.085442958,0.867397123,0.787240629,0.816215787,0.888689048,0.856617244,1.163112757,1.0070965,1.190823996,1.043927757,1.345732839,1.261990987,0.801115633,1.290213903,0.996042234,1.175470223,1.172161487,1.067669652,0.991501891,0.904001222,0.788026199,0.969171918,0.988225472,0.96991477,0.971329404,0.94727887,1.010276022,0.988965595,1.034328658,1.512409952,1.642544891,1.567738214,1.59567672,1.424448046,1.786426787,1.637795778,1.778453491,1.643785792,1.448072836,1.488059694,1.663688752,1.3610642,1.584368693,1.618684936,1.545191154,1.488396326,1.585703654,1.575249704,1.858485707,1.589849374,1.571691388,1.572020065,1.59880519,1.479040522,1.506749003,1.634672705,1.443605846,1.384332041,1.332393612,1.243668828,1.629407118,1.524296278,1.453790231,1.432812254,1.329314821,1.55304359,1.536877215,1.532451396
d__Bacteria;p__Verrucomicrobiota;c__Lentisphaeria,0.090636091,0.07688166,0.091275188,0.2009983,0.072840106,0.036601097,0.026636499,0.006810016,0.015021804,0.02778913,0.082544703,0.330482035,0.344401553,0.398849473,0.213131459,0.104580597,0.137000947,0.113000367,0.152128258,0.279682899,0.246191565,0.236247112,0.329354835,0.169946313,0.051738098,0.179776131,0.195627013,0.169366893,0.277742818,0.322205441,0.383310616,0.580573558,0.321299741,0.254389583,0.108920261,0.082272012,0.06153825,0.102418887,0.059823522,0.03420676,0.06675184,0.029128967,0.035947095,0,0,0,0,0.015493805,0.012201092,0.008699964,0,0.014988007,0,0,0,0,0,0.005369758,0.006740003,0.022281679,0,0,0,0.015900268,0.005610008,0.015132295,0.038004065,0.0604191,0.027490499,0.06786452,0.041235423,0.031292152,0.058984131,0.111285024,0.051407938,0.037795311,0.04399898,0.020329481,0.024595709,0.035430026,0.029290299,0.031591414,0.020531803,0.030805401,0.031728764,0.071808596,0.034677373,0.076441962,0.0398028,0.123483475,0.086600357,0.099494978,0.065592015,0.102288818,0.111611,0.095715593,0.104689011,0.093747123,0.097300001,0.074982113,0.098379313,0.118210768,0.127577503,0.155677775,0.175136535,0.191143846,0.190734168,0.230917349
